character-simplified|pinyin|definition
表情|biǎoqíng|(facial) expression; to express one's feelings; expression
表现|biǎoxiàn|to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior
丙|bǐng|third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc; ancient Chinese compass point: 165°; propyl
病毒|bìngdú|virus
玻璃|bōlí|glass; CL:張/张[zhang1],塊/块[kuai4]; (slang) male homosexual
博物馆|bówùguǎn|museum
脖子|bózǐ|neck; CL:個/个[ge4]
不必|bùbì|need not; does not have to; not necessarily
不断|bùduàn|unceasing; uninterrupted; continuous; constant
不见得|bùjiàndé|not necessarily; not likely
不耐烦|bùnàifán|impatience; impatient
不要紧|bùyàojǐn|unimportant; not serious; it doesn't matter; never mind; it looks all right, but
补充|bǔchōng|to replenish; to supplement; to complement; additional; supplementary; CL:個/个[ge4]
不安|bùān|unpeaceful; unstable; uneasy; disturbed; restless; worried
不得了|bùdéle|desperately serious; disastrous; extremely; exceedingly
不好意思|bùhǎoyìsī|to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)
不免|bùmiǎn|inevitably
不然|bùrán|not so; no; or else; otherwise; if not; How about ...?
不如|bùrú|not equal to; not as good as; inferior to; it would be better to
不足|bùzú|insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not
布|bù|variant of 布[bu4]; to announce; to spread; cloth; to declare; to announce; to spread; to make known
步骤|bùzòu|procedure; step
部门|bùmén|department; branch; section; division; CL:個/个[ge4]
财产|cáichǎn|property; assets; estate; CL:筆/笔[bi3]
踩|cǎi|variant of 踩[cai3]; to step on; to tread; to stamp; to press a pedal; to pedal (a bike); (online) to downvote
采访|cǎifǎng|to interview; to gather news; to hunt for and collect; to cover
采取|cǎiqǔ|to adopt or carry out (measures, policies, course of action); to take
彩虹|cǎihóng|rainbow; CL:道[dao4]
参考|cānkǎo|consultation; reference; to consult; to refer
参与|cānyǔ|to participate (in sth)
餐厅|cāntīng|dining hall; dining room; restaurant; CL:間/间[jian1],家[jia1]
残疾|cánjí|disabled; handicapped; deformity on a person or animal
惭愧|cánkùi|ashamed
操场|cāocháng|playground; sports field; drill ground; CL:個/个[ge4]
操心|cāoxīn|to worry about
册|cè|book; booklet; classifier for books
测验|cèyàn|test; to test; CL:次[ci4],個/个[ge4]
厕所|cèsuǒ|toilet; lavatory; CL:間/间[jian1],處/处[chu4]
曾经|céngjīng|once; already; former; previously; ever; (past tense marker used before verb or clause)
插|chā|to insert; stick in; pierce; to take part in; to interfere; to interpose; old variant of 插[cha1]
差别|chàbié|difference; distinction; disparity
叉子|chāzǐ|fork; CL:把[ba3]
拆|chāi|to tear open; to tear down; to tear apart; to open
产品|chǎnpǐn|goods; merchandise; product; CL:個/个[ge4]
产生|chǎnshēng|to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield
长途|chángtú|long distance
常识|chángshì|common sense; general knowledge; CL:門/门[men2]
抄|chāo|to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms
朝|zhāo|abbr. for 朝鮮/朝鲜[Chao2 xian3] Korea; imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; morning
朝代|zhāodài|dynasty; reign (of a king)
炒|chǎo|to sauté; to stir-fry; to speculate; to hype; to fire (sb)
吵架|chǎojià|to quarrel; to have a row; quarrel; CL:頓/顿[dun4]
车库|chēkù|garage
车厢|chēxiāng|carriage; CL:節/节[jie2]
彻底|chèdǐ|thorough; thoroughly; complete
沉默|chénmò|taciturn; uncommunicative; silent
趁|chèn|to avail oneself of; to take advantage of; old variant of 趁[chen4]
称|chēng|to fit; balanced; suitable; to weigh; to state; to name; name; appellation; to praise; variant of 秤[cheng4]; steelyard
称呼|chēnghū|to call; to address as; appellation
称赞|chēngzàn|to praise; to acclaim; to commend; to compliment
乘|chéng|surname Cheng; to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed; four horse military chariot (archaic); four (archaic); generic term for history books; old variant of 乘[cheng2]
承担|chéngdàn|to undertake; to assume (responsibility etc)
承认|chéngrèn|to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge
承受|chéngshòu|to bear; to support; to inherit
成分|chéngfēn|composition; make-up; ingredient; element; component; one's social status; CL:個/个[ge4]
成果|chéngguǒ|result; achievement; gain; profit; CL:個/个[ge4]
成就|chéngjìu|accomplishment; success; achievement; CL:個/个[ge4]; to achieve (a result); to create; to bring about
成立|chénglì|to establish; to set up; to be tenable; to hold water
成语|chéngyǔ|Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage; CL:條/条[tiao2],本[ben3],句[ju4]
成长|chéngcháng|to mature; to grow; growth
程度|chéngdù|degree (level or extent); level; CL:個/个[ge4]
程序|chéngxù|procedures; sequence; order; computer program
诚恳|chéngkěn|sincere; honest; cordial
吃亏|chīyú|to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately
持续|chíxù|to continue; to persist; sustainable; preservation
池子|chízǐ|pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater)
尺子|chǐzǐ|rule; ruler (measuring instrument); CL:把[ba3]
翅膀|chìbǎng|wing; CL:個/个[ge4],對/对[dui4]
冲|chōng|(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; thoroughfare; to go straight ahead; to rush; to clash; powerful; vigorous; pungent; towards; in view of
充电器|chōngdiànqì|battery charger
充分|chōngfēn|ample; sufficient; adequate; full; fully; to the full
充满|chōngmǎn|full of; brimming with; very full; permeated
重复|zhòngfù|to repeat; to duplicate; CL:個/个[ge4]; variant of 重複/重复[chong2 fu4]
宠物|chǒngwù|house pet
抽屉|chōutì|drawer
抽象|chōuxiàng|abstract; abstraction; CL:種/种[zhong3]
丑|chǒu|surname Chou; clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; ancient Chinese compass point: 30°; shameful; ugly; disgraceful
臭|chòu|stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition); sense of smell; smell bad
出版|chūbǎn|to publish
出口|chūkǒu|an exit; CL:個/个[ge4]; to speak; to export; (of a ship) to leave port
出色|chūsè|remarkable; outstanding
出席|chūxí|to attend; to participate; present
初级|chūjí|junior; primary
除|chú|to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including
除非|chúfēi|only if (..., or otherwise, ...); only when; only in the case that; unless
除夕|chúxī|lunar New Year's Eve
处理|chùlǐ|to handle; to treat; to deal with; to process; to deal with a criminal case; to mete out punishment; to offer for sale at a reduced price; to punish
传播|chuánbō|to disseminate; to propagate; to spread
传递|chuándì|to transmit; to pass on to sb else; (math.) transitive
传染|chuánrǎn|to infect; contagious
传说|chuánshuō|legend; folklore; to repeat from mouth to mouth; they say that...
传统|chuántǒng|tradition; traditional; convention; conventional; CL:個/个[ge4]
窗帘|chuānglián|window curtains
闯|chuǎng|to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)
创造|chuàngzào|to create; to bring about; to produce; to set (a record)
吹|chūi|to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through
磁带|cídài|magnetic tape; CL:盤/盘[pan2],盒[he2]
辞职|cízhí|to resign
此外|cǐwài|besides; in addition; moreover; furthermore
刺激|cìjī|to provoke; to irritate; to upset; to stimulate; to excite; irritant
次要|cìyào|secondary
匆忙|cōngmáng|hasty; hurried
从此|cóngcǐ|from now on; since then; henceforth
从而|cóngér|thus; thereby
从前|cóngqián|previously; formerly; once upon a time
从事|cóngshì|to go for; to engage in; to undertake; to deal with; to handle; to do
醋|cù|vinegar; jealousy (in love rivalry)
促进|cùjìn|to promote (an idea or cause); to advance; boost
促使|cùshǐ|to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)
催|cūi|to urge; to press; to prompt; to rush sb; to hasten sth; to expedite
存|cún|to exist; to deposit; to store; to keep; to survive
存在|cúnzài|to exist; to be; existence
错误|cuòwù|error; mistake; CL:個/个[ge4]; mistaken; false; wrong
措施|cuòshī|measure; step; CL:個/个[ge4]
答应|dáyìng|to answer; to respond; to answer positively; to agree; to accept; to promise
达到|dádào|to reach; to achieve; to attain
打工|dǎgōng|to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation
打交道|dǎjiāodào|to come into contact with; to have dealings
打喷嚏|dǎpēntì|to sneeze
打听|dǎtīng|to ask about; to make some inquiries; to ask around
打招呼|dǎzhāohū|to greet sb by word or action; to give prior notice
大方|dàfāng|expert; scholar; mother earth; a type of green tea; generous; magnanimous; stylish; in good taste; easy-mannered; natural and relaxed
大象|dàxiàng|elephant; CL:隻/只[zhi1]
大型|dàxíng|large; large-scale
呆|dāi|foolish; stupid; expressionless; blank; to stay
贷款|dàikuǎn|a loan; CL:筆/笔[bi3]; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)
待遇|dàiyù|treatment; pay; salary; status; rank
担任|dànrèn|to hold a governmental office or post; to assume office of; to take charge of; to serve as
单纯|dānchún|simple; pure; unsophisticated; merely; purely
单调|dāndiào|monotonous
单独|dāndú|alone; by oneself; on one's own
单位|dānwèi|unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform); CL:個/个[ge4]
单元|dānyuán|unit (forming an entity); element; (in a residential building) entrance or staircase
耽误|dānwù|to delay; to hold up; to waste time; to interfere with
胆小鬼|dǎnxiǎogǔi|coward
淡|dàn|insipid; diluted; weak; mild; light in color; tasteless; indifferent; (variant of 氮[dan4]) nitrogen
当代|dāngdài|the present age; the contemporary era
挡|dǎng|to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission); to arrange; to put in order; variant of 擋/挡[dang3]
岛|dǎo|island; CL:個/个[ge4],座[zuo4]
倒霉|dǎoméi|to have bad luck; to be out of luck
导演|dǎoyǎn|to direct; director (film etc)
导致|dǎozhì|to lead to; to create; to cause; to bring about
倒|dǎo|to fall; to collapse; to lie horizontally; to overthrow; to fail; to go bankrupt; to change (trains or buses); to move around; to resell at a profit; to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation
到达|dàodá|to reach; to arrive
道德|dàodé|virtue; morality; ethics; CL:種/种[zhong3]
道理|dàolǐ|reason; argument; sense; principle; basis; justification; CL:個/个[ge4]
登机牌|dēngjīpái|boarding pass
登记|dēngjì|to register (one's name)
等待|děngdài|to wait; to wait for
等候|děnghòu|to wait; to wait for
等于|děngyú|to equal; to be tantamount to
滴|dī|a drop; to drip
的确|dequè|really; indeed
敌人|dírén|enemy; CL:個/个[ge4]
递|dì|to hand over; to pass on sth; to gradually increase or decrease; progressively
地道|dìdào|tunnel; causeway; authentic; genuine; proper
地理|dìlǐ|geography
地区|dìqū|local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or county level city); CL:個/个[ge4]
地毯|dìtǎn|carpet; rug
地位|dìwèi|position; status; place; CL:個/个[ge4]
地震|dìzhèn|earthquake
点头|diǎntóu|to nod
点心|diǎnxīn|light refreshments; pastry; dimsum (in Cantonese cooking); dessert
电池|diànchí|battery; CL:節/节[jie2],組/组[zu3]
电台|diàntái|transmitter-receiver; broadcasting station; radio station; CL:個/个[ge4],家[jia1]
钓|diào|to fish with a hook and bait
丁|dīng|surname Ding; fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; fourth in order; letter "D" or Roman "IV" in list "A, B, C", or "I, II, III" etc; ancient Chinese compass point: 195°; butyl; cubes (of food)
顶|dǐng|apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to "bump" a forum thread to raise its profile; classifier for headwear, hats, veils etc
冻|dòng|to freeze; to feel very cold; aspic or jelly
洞|dòng|cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個/个[ge4]
动画片|dònghuàpiàn|animated film
逗|dòu|to stay; to stop; to tease (play with); amusing; short pause in reading aloud, equivalent to comma (also written 讀/读[dou4])
豆腐|dòufǔ|tofu; bean curd
独立|dúlì|independent; independence; to stand alone
独特|dútè|unique; distinct; having special characteristics
度过|dùguò|to pass; to spend (time); to survive; to get through
短信|duǎnxìn|text message; SMS
堆|dūi|to pile up; to heap up; a mass; pile; heap; stack; large amount
对比|dùibǐ|to contrast; contrast; ratio; CL:個/个[ge4]
对待|dùidài|to treat; treatment
对方|dùifāng|counterpart; other person involved; opposite side; other side; receiving party
对手|dùishǒu|opponent; rival; competitor; (well-matched) adversary; match
对象|dùixiàng|target; object; partner; boyfriend; girlfriend; CL:個/个[ge4]
对于|dùiyú|regarding; as far as sth is concerned; with regards to
吨|dūn|ton (loanword); Taiwan pr. [dun4]
蹲|dūn|to crouch; to squat; to stay (somewhere)
多亏|duōyú|thanks to; luckily
多余|duōyú|superfluous; unnecessary; surplus
躲藏|duǒcáng|to conceal oneself; to go into hiding; to take cover
恶劣|èliè|vile; nasty; of very poor quality
发表|fābiǎo|to issue; to publish
发愁|fāchóu|to worry; to fret; to be anxious; to become sad
发达|fādá|developed (country etc); flourishing; to develop
发抖|fādǒu|to tremble; to shake; to shiver
发挥|fāhūi|to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme)
发明|fāmíng|to invent; an invention; CL:個/个[ge4]
发票|fāpiào|invoice; receipt or bill for purchase
发言|fāyán|to make a speech; statement; utterance; CL:個/个[ge4]
罚款|fákuǎn|to fine; penalty; fine (monetary)
法院|fǎyuàn|court of law; court
翻|fān|to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross; variant of 翻[fan1]
繁荣|fánróng|prosperous; booming (economy)
凡是|fánshì|each and every; every; all; any
反而|fǎnér|instead; on the contrary; contrary (to expectations)
反复|fǎnfù|variant of 反覆/反复[fan3 fu4]; repeatedly; over and over; to upend; unstable; to come and go; (of an illness) to return
反应|fǎnyìng|to react; to respond; reaction; response; reply; chemical reaction; CL:個/个[ge4]
反正|fǎnzhèng|anyway; in any case; to come over from the enemy's side
方|fāng|surname Fang; square; power or involution (math.); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter
方案|fāngàn|plan; program (for action etc); proposal; proposed bill; CL:個/个[ge4],套[tao4]
方式|fāngshì|way; manner; style; mode; pattern; CL:個/个[ge4]
妨碍|fángài|to hinder; to obstruct
房东|fángdōng|landlord
仿佛|fǎngfó|variant of 彷彿/仿佛[fang3 fu2]; to seem; as if; alike; similar
放松|fàngsōng|to loosen; to relax
非|fēi|abbr. for 非洲[Fei1 zhou1], Africa; to not be; not; wrong; incorrect; non-; un-; in-; to reproach or blame; (colloquial) to insist on; simply must
肥皂|féizào|soap; CL:塊/块[kuai4],條/条[tiao2]
肺|fèi|lung; CL:個/个[ge4]
废话|fèihuà|nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic)
费用|fèiyòng|cost; expenditure; expense; CL:筆/笔[bi3],個/个[ge4]
分别|fēnbié|to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually
分布|fēnbù|to scatter; to distribute; to be distributed (over an area etc); (statistical, geographic) distribution
分配|fēnpèi|to distribute; to assign; to allocate; to partition (a hard drive)
分析|fēnxī|to analyze; analysis; CL:個/个[ge4]
纷纷|fēnfēn|one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell
奋斗|fèndǒu|to strive; to struggle
愤怒|fènnù|angry; indignant; wrath; ire
风格|fēnggé|style
风俗|fēngsú|social custom; CL:個/个[ge4]
风险|fēngxiǎn|risk; hazard
疯狂|fēngkuáng|crazy; frantic; extreme popularity
讽刺|fēngcì|to satirize; to mock; irony; satire; sarcasm
否定|fǒudìng|to negate; to deny; to reject; negative (answer); negation
否认|fǒurèn|to declare to be untrue; to deny
扶|fú|to support with the hand; to help sb up; to support oneself by holding onto something; to help
幅|fú|width; roll; classifier for textiles or pictures
服从|fúcóng|to obey (an order); to comply; to defer
服装|fúzhuāng|dress; clothing; costume; clothes; CL:身[shen1]
辅导|fǔdǎo|to give guidance; to mentor; to counsel; to coach; to tutor
复制|fùzhì|to duplicate; to make a copy of; to copy; to reproduce; to clone
付款|fùkuǎn|to pay a sum of money; payment
妇女|fùnv̌|woman
改革|gǎigé|reform; CL:次[ci4],種/种[zhong3],項/项[xiang4]; to reform
改进|gǎijìn|to improve; to make better; CL:個/个[ge4]
改善|gǎishàn|to make better; to improve; CL:個/个[ge4]
改正|gǎizhèng|to correct; to amend; to put right; correction; CL:個/个[ge4]
盖|gài|surname Ge; lid; top; cover; canopy; to cover; to conceal; to build
概括|gàikuò|to summarize; to generalize; briefly; CL:個/个[ge4]
概念|gàiniàn|concept; idea; CL:個/个[ge4]
干脆|gāncùi|straightforward; clear-cut; blunt (e.g. statement); you might as well; simply
感激|gǎnjī|to be grateful; to appreciate; thankful
感受|gǎnshòu|to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience
感想|gǎnxiǎng|impressions; reflections; thoughts; CL:通[tong4],個/个[ge4]
赶紧|gǎnjǐn|hurriedly; without delay
赶快|gǎnkuài|at once; immediately
干活儿|gānhuóér|erhua variant of 幹活/干活[gan4 huo2]
钢铁|gāngtiě|steel
高档|gāodǎng|superior quality; high grade; top grade
高速|gāosù|high speed
搞|gǎo|to do; to make; to go in for; to set up; to get hold of; to take care of
告别|gàobié|to leave; to bid farewell to; to say good-bye to
胳膊|gēbó|arm; CL:隻/只[zhi1],條/条[tiao2],雙/双[shuang1]
鸽子|gēzǐ|pigeon; dove; various birds of the family Columbidae
隔壁|gébì|next door; neighbor
格外|géwài|especially; particularly
革命|gémìng|revolution; revolutionary (politics); CL:次[ci4]
个别|gèbié|individual; specific; respective; just one or two
个人|gèrén|individual; personal; oneself
个性|gèxìng|individuality; personality
各自|gèzì|each; respective; apiece
根|gēn|root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條/条[tiao2]; radical (chemistry)
根本|gēnběn|fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個/个[ge4]
更加|gèngjiā|more (than sth else); even more
公布|gōngbù|to announce; to make public; to publish
公开|gōngkāi|public; to publish; to make public
公平|gōngpíng|fair; impartial
公寓|gōngyù|apartment building; block of flats; CL:套[tao4]
公元|gōngyuán|CE (Common Era); Christian Era; AD (Anno Domini)
公主|gōngzhǔ|princess
工厂|gōngchǎng|factory; CL:家[jia1],座[zuo4]
工程师|gōngchéngshī|engineer; CL:個/个[ge4],位[wei4],名[ming2]
工人|gōngrén|worker; CL:個/个[ge4],名[ming2]
工业|gōngyè|industry
功夫|gōngfū|skill; art; kung fu; labor; effort
功能|gōngnéng|function; capability
贡献|gòngxiàn|to contribute; to dedicate; to devote; contribution; CL:個/个[ge4]
沟通|gōutōng|to join; to connect; to link up; to communicate
构成|gōuchéng|to constitute; to form; to compose; to make up; to configure (computing)
姑姑|gūgū|paternal aunt; CL:個/个[ge4]
姑娘|gūniáng|girl; young woman; young lady; daughter; paternal aunt (old); CL:個/个[ge4]
古代|gǔdài|ancient times; olden times
古典|gǔdiǎn|classical
古老|gǔlǎo|ancient; old; age-old
股票|gǔpiào|share certificate; stock (finance)
鼓舞|gǔwǔ|heartening (news); to boost (morale); CL:個/个[ge4]
骨头|gǔtóu|bone; CL:根[gen1],塊/块[kuai4]; moral character; bitterness
固定|gùdìng|to fix; to fasten; to set rigidly in place; fixed; set; regular
固体|gùtǐ|solid
雇佣|gùyòng|to employ; to hire
挂号|guàhào|to register (at a hospital etc); to send by registered mail
乖|guāi|(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal
拐弯|guǎiwān|to go round a curve; to turn a corner; fig. a new direction
怪不得|guàibùdé|no wonder!; so that's why!
关闭|guānbì|to close; to shut
关怀|guānhuái|care; solicitude; to show care for; concerned about; attentive to
官|guān|surname Guan; government official; governmental; official; public; organ of the body; CL:個/个[ge4]
观察|guānchá|to observe; to watch; to survey; to examine; observation; view; perspective; CL:個/个[ge4]
观点|guāndiǎn|point of view; viewpoint; standpoint; CL:個/个[ge4]
观念|guānniàn|notion; thought; concept; sense; views; ideology; general impressions
管子|guǎnzǐ|Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國/齐国 of Spring and Autumn period; Guanzi, classical book containing writings of Guan Zhong and his school; tube; pipe; drinking straw; CL:根[gen1]
罐头|guàntóu|tin; can; CL:個/个[ge4]
冠军|guānjūn|champion; CL:個/个[ge4]
光滑|guānghuá|glossy; sleek; smooth
光临|guānglín|(formal) to honor with one's presence; to attend
光明|guāngmíng|light; radiance; (fig.) bright (prospects etc); openhearted
光盘|guāngpán|compact disc; CD or DVD; CD ROM; CL:片[pian4],張/张[zhang1]
光荣|guāngróng|honor and glory; glorious
广场|guǎngcháng|public square; plaza
广大|guǎngdà|(of an area) vast or extensive; large-scale; widespread; (of people) numerous
广泛|guǎngfàn|extensive; wide range
规矩|gūijǔ|lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved
规律|gūilv̀|rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline
规模|gūimó|scale; scope; extent; CL:個/个[ge4]
规则|gūizé|rule; regulation; rules and regulations
柜台|gùitái|variant of 櫃檯/柜台[gui4 tai2]; sales counter; front desk; bar; (of markets, medicines etc) OTC (over-the-counter); variant of 櫃檯/柜台[gui4 tai2]
滚|gǔn|to boil; to roll; to take a hike; Get lost!
锅|guō|pot; pan; boiler; CL:口[kou3],隻/只[zhi1]
国籍|guójí|nationality
国庆节|guóqìngjié|PRC National Day (October 1st)
果实|guǒshí|fruit (produced by a plant); (fig.) fruits (of success etc); results; gains
过分|guòfēn|excessive; undue; overly
过敏|guòmǐn|oversensitive; allergic; allergy
过期|guòqī|to be overdue; to exceed the time limit; to expire (as in expiration date)
哈|hā|abbr. for 哈薩克斯坦/哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan; abbr. for 哈爾濱/哈尔滨[Ha1 er3 bin1], Harbin; (interj.) ha!; (onom. for laughter); (slang) to be infatuated with; to adore; abbr. for 哈士奇[ha1 shi4 qi2], husky (dog); a Pekinese; a pug; (dialect) to scold
海关|hǎiguān|customs (i.e. border crossing inspection); CL:個/个[ge4]
海鲜|hǎixiān|seafood
喊|hǎn|to yell; to shout; to call out for (a person)
行业|xíngyè|industry; business
豪华|háohuá|luxurious
好奇|hǎoqí|inquisitive; curious; inquisitiveness; curiosity
和平|hépíng|Heping district of Shenyang city 瀋陽市/沈阳市, Liaoning; Hoping township in Taichung county 臺中縣/台中县[Tai2 zhong1 xian4], Taiwan; peace; peaceful
何必|hébì|there is no need; why should
何况|hékuàng|let alone; to say nothing of; besides; what's more
合法|héfǎ|lawful; legitimate; legal
合理|hélǐ|rational; reasonable; fair
合同|hétóng|(business) contract; CL:個/个[ge4]
合影|héyǐng|to take a joint photo; group photo
合作|hézuò|to cooperate; to collaborate; to work together; cooperation; CL:個/个[ge4]
核心|héxīn|core; nucleus
恨|hèn|to hate; to regret
横|héng|horizontal; across; crosswise; horizontal stroke (in Chinese characters); to place (sth) flat (on a surface); to cross (a river, etc); in a jumble; chaotic; (in fixed expressions) harsh and unreasonable; violent; harsh and unreasonable; unexpected
后果|hòuguǒ|consequences; aftermath
忽视|hūshì|to neglect; to ignore
呼吸|hūxī|to breathe
壶|hú|pot; classifier for bottled liquid
蝴蝶|húdié|butterfly; CL:隻/只[zhi1]
胡说|húshuō|to talk nonsense; drivel
胡同|hútóng|lane; alley; CL:條/条[tiao2]; variant of 胡同[hu2 tong4]
胡须|húxū|beard; CL:根[gen1],綹/绺[liu3]
糊涂|hútú|muddled; silly; confused
花生|huāshēng|peanut; groundnut; CL:粒[li4]
滑冰|huábīng|to skate; skating
划船|huáchuán|to row a boat; rowing boat; rowing (sport)
华裔|huáyì|ethnic Chinese; non-Chinese citizen of Chinese ancestry
化学|huàxué|chemistry; chemical
