character-simplified|pinyin|definition
对联|dùilián|rhyming couplet; pair of lines of verse written vertically down the sides of a doorway; CL:副[fu4],幅[fu2]
对应|dùiyìng|to correspond; a correspondence; corresponding; homologous; matching with sth; counterpart
对照|dùizhào|to contrast; to compare; to place side by side for comparison (as parallel texts); to check
兑换|dùihuàn|to convert; to exchange
兑现|dùixiàn|(of a check etc) to cash; to honor a commitment
队伍|dùiwǔ|ranks; troops; queue; line; procession; CL:個/个[ge4],支[zhi1],條/条[tiao2]
顿时|dùnshí|immediately; suddenly
多元化|duōyuánhuà|diversification; pluralism; to diversify
哆嗦|duōsuō|to tremble; to shiver; uncontrolled shaking of the body
堕落|duòluò|to degrade; to degenerate; to become depraved; corrupt; a fall from grace
额外|éwài|extra; added; additional
恶心|èxīn|variant of 惡心/恶心[e3 xin1]; nausea; to feel sick; disgust; nauseating; to embarrass (deliberately); bad habit; vicious habit; vice
恶化|èhuà|to worsen
遏制|èzhì|to check; to contain; to hold back; to keep within limits; to constrain; to restrain
恩怨|ēnyuàn|gratitude and grudges; resentment; grudges; grievances
而已|éryǐ|that's all; nothing more
耳环|ěrhuán|earring; CL:隻/只[zhi1],對/对[dui4]
二氧化碳|èryǎnghuàtàn|carbon dioxide CO2
发布|fābù|to release; to issue; to announce; to distribute; also written 發布/发布[fa1 bu4]; to release; to issue; to announce; to distribute
发财|fācái|to get rich
发呆|fādāi|to stare blankly; to be stunned; to be lost in thought
发动|fādòng|to start; to launch; to unleash; to mobilize; to arouse
发火|fāhuǒ|to catch fire; to ignite; to detonate; to get angry
发觉|fājué|to become aware; to detect; to realize; to perceive
发射|fāshè|to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission
发誓|fāshì|to vow; to pledge; to swear
发行|fāxíng|to publish; to issue (stocks, currency etc); to release; to distribute (a film)
发炎|fāyán|to become inflamed; inflammation
发扬|fāyáng|to develop; to make full use of
发育|fāyù|to develop; to mature; growth; development; (sexually) mature
法人|fǎrén|legal person; corporation; see also 自然人[zi4 ran2 ren2]
番|fān|surname Pan; foreign (non-Chinese); barbarian; classifier for occurrences (of an event, action or speech utterance); classifier for iterations: times, -fold (as in twofold etc); classifier for situations: kind, sort
繁华|fánhuá|flourishing; bustling
繁忙|fánmáng|busy; bustling
繁体字|fántǐzì|traditional Chinese character
繁殖|fánzhí|to breed; to reproduce; to propagate
反驳|fǎnbó|to retort; to refute
反常|fǎncháng|unusual; abnormal
反倒|fǎndǎo|but on the contrary; but expectedly
反动|fǎndòng|reaction; reactionary
反感|fǎngǎn|to be disgusted with; to dislike; bad reaction; antipathy
反抗|fǎnkàng|to resist; to rebel
反馈|fǎnkùi|to send back information; feedback
反面|fǎnmiàn|reverse side; backside; the other side (of a problem etc); negative; bad
反射|fǎnshè|to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism)
反思|fǎnsī|to think back over sth; to review; to revisit; to rethink; reflection; reassessment
反问|fǎnwèn|to ask (a question) in reply; to answer a question with a question; rhetorical question
反之|fǎnzhī|on the other hand...; conversely...
范畴|fànchóu|category
泛滥|fànlàn|to be in flood; to overflow (the banks); to inundate; to spread unchecked
贩卖|fànmài|to sell; to peddle; to traffic
方位|fāngwèi|direction; points of the compass; bearing; position; azimuth
方言|fāngyán|the first Chinese dialect dictionary, edited by Yang Xiong 揚雄/扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters; topolect; dialect
方针|fāngzhēn|policy; guidelines; CL:個/个[ge4]
防守|fángshǒu|to defend; to protect (against)
防疫|fángyì|disease prevention; protection against epidemic
防御|fángyù|defense; to defend
防止|fángzhǐ|to prevent; to guard against; to take precautions
防治|fángzhì|to prevent and cure; prevention and cure
纺织|fǎngzhī|spinning and weaving
放大|fàngdà|to enlarge; to magnify
放射|fàngshè|to radiate; radioactive
放手|fàngshǒu|to let go one's hold; to give up; to have a free hand
非法|fēifǎ|illegal
飞禽走兽|fēiqínzǒushòu|birds and animals; the beasts of the field and the birds of the air
飞翔|fēixiáng|to circle in the air; to soar
飞跃|fēiyuè|to leap
肥沃|féiwò|fertile
诽谤|fěibàng|to slander; to libel
匪徒|fěitú|gangster; bandit
废除|fèichú|to abolish; to abrogate; to repeal
废墟|fèixū|ruins
沸腾|fèiténg|(of a liquid) to boil; (of sentiments etc) to boil over; to flare up; to be impassioned
分辨|fēnbiàn|to distinguish; to differentiate; to resolve
分寸|fēncùn|propriety; appropriate behavior; proper speech or action; within the norms
分红|fēnhóng|dividend; to award a bonus
分解|fēnjiě|to resolve; to decompose; to break down
分裂|fēnliè|to split up; to divide; to break up; fission; schism
分泌|fēnmì|to secrete; secretion
分明|fēnmíng|clear; distinct; evidently; clearly
分歧|fēnqí|divergent; difference (of opinion, position); disagreement; bifurcation (math.)
分散|fēnsàn|to scatter; to disperse; to distribute
分手|fēnshǒu|to part company; to split up; to break up
吩咐|fēnfù|to tell; to instruct; to command
坟墓|fénmù|grave; tomb
粉末|fěnmò|fine powder; dust
粉色|fěnsè|pink; white; erotic; beautiful woman; powdered (with make-up)
粉碎|fěnsùi|to crush; to smash; to shatter
分量|fēnliàng|(vector) component; quantity; weight; measure
风暴|fēngbào|storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)
风度|fēngdù|elegance (for men); elegant demeanor; grace; poise
风光|fēngguāng|scene; view; sight; landscape; to be well-regarded; to be well-off; grand (dialect); impressive (dialect)
风气|fēngqì|general mood; atmosphere; common practice
风趣|fēngqù|charm; humor; wit; humorous; witty
风土人情|fēngtǔrénqíng|local conditions and customs (idiom)
风味|fēngwèi|distinctive flavor; distinctive style
封闭|fēngbì|to seal; to close; to confine; to seal off; to close down; sealed; confined; closed; unreceptive
封建|fēngjiàn|system of enfeoffment; feudalism; feudal; feudalistic
封锁|fēngsuǒ|to blockade; to seal off
丰满|fēngmǎn|Fengman district of Jilin city 吉林市, Jilin province; ample; well developed; fully rounded
丰盛|fēngshèng|rich; sumptuous
丰收|fēngshōu|bumper harvest
锋利|fēnglì|sharp (e.g. knife blade); incisive; to the point
逢|féng|to meet by chance; to come across; (of a calendar event) to come along; (of an event) to fall on (a particular day); to fawn upon
奉献|fèngxiàn|to offer respectfully; to consecrate; to dedicate; to devote
否决|fǒujué|to veto; to overrule
夫妇|fūfù|a (married) couple; husband and wife; CL:對/对[dui4]
夫人|fūrén|lady; madam; Mrs.; CL:位[wei4]
敷衍|fūyǎn|to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by
幅度|fúdù|width; extent; range; scope
服气|fúqì|to be convinced; to accept
符号|fúhào|symbol; mark; sign
福利|fúlì|material benefit; benefit in kind; (social) welfare
福气|fúqì|good fortune; a blessing
俘虏|fúlǔ|captive
辐射|fúshè|radiation
腐败|fǔbài|corruption; to corrupt; to rot; rotten
腐烂|fǔlàn|to rot; to putrefy; (fig.) corrupt
腐蚀|fǔshí|corrosion; to corrode (degrade chemically); to rot; corruption
腐朽|fǔxǐu|rotten; decayed; decadent; degenerate
辅助|fǔzhù|to assist; to aid; supplementary; auxiliary; subsidiary
抚养|fǔyǎng|to foster; to bring up; to raise
俯仰|fǔyǎng|lowering and raising of the head; (fig.) small move; pitch (position angle)
富裕|fùyù|Fuyu county in Qiqihar 齊齊哈爾/齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang; prosperous; well-to-do; well-off
副|fù|secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞/副词 adverb; classifier for pairs, sets of things & facial expressions
副作用|fùzuòyòng|side effect
负担|fùdàn|burden; to bear a burden
覆盖|fùgài|to cover
附和|fùhé|to agree; to go along with; to echo (what sb says)
附件|fùjiàn|enclosure; attachment (email); appendix
附属|fùshǔ|subsidiary; auxiliary; attached; affiliated; subordinate; subordinating
复活|fùhuó|to revive; (lit. and fig.) to come back to life; (religion) resurrection
复兴|fùxīng|Fuxing district of Handan city 邯鄲市/邯郸市[Han2 dan1 shi4], Hebei; Fuxing or Fuhsing township in Taoyuan county 桃園縣/桃园县[Tao2 yuan2 xian4], north Taiwan; to revive; to rejuvenate
腹泻|fùxiè|diarrhea; to have the runs
赋予|fùyú|to assign; to entrust (a task); to give; to bestow
改良|gǎiliáng|to improve (sth); to reform (a system)
盖章|gàizhāng|to affix a seal; to stamp (a document); to sign off on sth
干旱|gānhàn|drought; arid; dry
干扰|gānrǎo|to disturb; to interfere; perturbation; interference (physics)
干涉|gānshè|to interfere; to meddle; interference
干预|gānyù|to meddle; to intervene; intervention
尴尬|gāngà|awkward; embarrassed
甘心|gānxīn|to be willing to; to resign oneself to
感慨|gǎnkǎi|to sigh with sorrow, regret etc; rueful; deeply moved
感染|gǎnrǎn|infection; to infect; to influence
干劲|gānjìng|enthusiasm for doing sth
纲领|gānglǐng|program (i.e. plan of action); guiding principle
港口|gǎngkǒu|port; harbor
港湾|gǎngwān|natural harbor; bay serving as harbor
岗位|gǎngwèi|a post; a job
杠杆|gānggān|lever; pry bar; crowbar; financial leverage
高超|gāochāo|excellent; superlative
高潮|gāocháo|high tide; high water; upsurge; climax; orgasm; chorus (part of a song)
高峰|gāofēng|peak; summit; height
高考|gāokǎo|college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試/普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao4 Zhao1 sheng1 Quan2 guo2 Tong3 yi1 Kao3 shi4]); (Tw) entrance exam for senior government service posts (abbr. for 公務人員高等考試/公务人员高等考试)
高明|gāomíng|Gaoming district of Foshan city 佛山市[Fo2 shan1 shi4], Guangdong; brilliant; superior; tall and bright
高尚|gāoshàng|noble; lofty; refined; exquisite
高涨|gāozhǎng|to surge up; to rise; (of tensions etc) to run high
稿件|gǎojiàn|piece of writing submitted for publication; manuscript; article
告辞|gàocí|to say goodbye; to take one's leave
告诫|gàojiè|to warn; to admonish
割|gē|to cut; to cut apart
搁|gē|to place; to put aside; to shelve; to bear; to stand; to endure
疙瘩|gēda|swelling or lump on skin; pimple; knot; preoccupation; problem
歌颂|gēsòng|to sing the praises of; to extol; to eulogize
隔阂|géhé|misunderstanding; estrangement; (language etc) barrier
隔离|gélí|to separate; to isolate
格局|géjú|structure; pattern; layout
格式|géshì|form; specification; format
个体|gètǐ|individual
各抒己见|gèshūjǐjiàn|everyone gives their own view
根深蒂固|gēnshēndìgù|deep-rooted (problem etc)
根源|gēnyuán|origin; root (cause)
跟前|gēnqián|the front (of); (in) front; (in) sb's presence; just before (a date); (of children, parents etc) at one's side; living with one
跟随|gēnsúi|to follow
跟踪|gēnzōng|to follow sb's tracks; to tail; to shadow; tracking
耕地|gēngdì|arable land; to plow land
更新|gèngxīn|to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate
更正|gèngzhèng|to correct; to make a correction
公安局|gōngānjú|public security bureau (government office similar in function to a police station)
公道|gōngdào|justice; fairness; public highway; fair; equitable
公告|gōnggào|post; announcement
公关|gōngguān|public relations
公民|gōngmín|citizen
公婆|gōngpó|husband's parents; parents-in-law
公然|gōngrán|openly; publicly; undisguised
公认|gōngrèn|publicly known (to be); accepted (as)
公式|gōngshì|formula
公务|gōngwù|official business
公正|gōngzhèng|just; fair; equitable
公证|gōngzhèng|notarization; notarized; acknowledgement
供不应求|gōngbùyìngqíu|supply does not meet demand
供给|gōnggěi|to furnish; to provide; supply (as in supply and demand)
工夫|gōngfū|(old) laborer; period of time (may be months, or mere seconds); spare time; skill; labor; effort
工艺品|gōngyìpǐn|handicraft article; handiwork; CL:個/个[ge4]
宫殿|gōngdiàn|palace; CL:座[zuo4]
功课|gōngkè|homework; assignment; task; classwork; lesson; study; CL:門/门[men2]
功劳|gōngláo|contribution; meritorious service; credit
功效|gōngxiào|efficacy
攻击|gōngjí|to attack; to accuse; to charge; an attack (terrorist or military)
攻克|gōngkè|to capture; to take; to overcome; to solve
恭敬|gōngjìng|deferential; respectful
巩固|gǒnggù|to consolidate; consolidation; to strengthen
共和国|gònghéguó|republic
共计|gòngjì|to sum up to; to total
共鸣|gòngmíng|resonance (physics); sympathetic response to sth
勾结|gōujié|to collude with; to collaborate with; to gang up with
钩子|gōuzǐ|hook
构思|gōusī|to design; to plot; to plan out; to compose; to draw a mental sketch; conception; plan; idea; composition
孤独|gūdú|lonely; solitary
孤立|gūlì|isolate; isolated
辜负|gūfù|to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint
姑且|gūqiě|for the time being; tentatively
古董|gǔdǒng|curio; antique
古怪|gǔguài|eccentric; grotesque; oddly; queer
股东|gǔdōng|shareholder; stockholder
股份|gǔfèn|a share (in a company); stock
鼓动|gǔdòng|to agitate; to arouse; to instigate; to encite
骨干|gǔgān|diaphysis (long segment of a bone); fig. backbone
固然|gùrán|admittedly (it's true that...)
固有|gùyǒu|intrinsic to sth; inherent; native
固执|gùzhí|obstinate; stubborn
顾虑|gùlv̀|misgivings; apprehensions
顾问|gùwèn|adviser; consultant
故乡|gùxiāng|home; homeland; native place; CL:個/个[ge4]
故障|gùzhàng|malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software)
拐杖|guǎizhàng|crutches; crutch; walking stick
关照|guānzhào|to take care; to keep an eye on; to look after; to tell; to remind
官方|guānfāng|government; official (approved or issued by an authority)
观光|guānguāng|to tour; sightseeing; tourism
管辖|guǎnxiá|to administer; to have jurisdiction (over)
罐|guàn|can; jar; pot; variant of 罐[guan4]
贯彻|guànchè|to implement; to put into practice; to carry out
灌溉|guàngài|to irrigate
惯例|guànlì|convention; usual practice
光彩|guāngcǎi|luster; splendor; radiance; brilliance
光辉|guānghūi|radiance; glory; brilliant; magnificent
光芒|guāngmáng|rays of light; brilliant rays; radiance
广阔|guǎngkuò|wide; vast
规范|gūifàn|norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify
规格|gūigé|standard; norm; specification
规划|gūihuá|to plan (how to do sth); planning; plan; program
规章|gūizhāng|rule; regulation
归根到底|gūigēndàodǐ|after all; in the final analysis; ultimately
归还|gūihuán|to return sth; to revert
归纳|gūinà|to sum up; to summarize; to conclude from facts; induction (method of deduction in logic)
轨道|gǔidào|orbit; railway or tram line; fig. conventional way of thinking
跪|gùi|to kneel
贵族|gùizú|lord; nobility; nobleman; noblewoman; aristocrat; aristocracy
棍棒|gùnbàng|club; staff; stick
国防|guófáng|national defense
国务院|guówùyuàn|State Council (PRC); State Department (USA)
果断|guǒduàn|firm; decisive
过度|guòdù|excessive; over-; excess; going too far; extravagant; intemperate; overdue
过渡|guòdù|to cross over (by ferry); transition; interim; caretaker (administration)
过奖|guòjiǎng|to overpraise; to flatter
过滤|guòlv̀|to filter; filter
过失|guòshī|error; fault; (law) negligence; delinquency
过问|guòwèn|to show an interest in; to get involved with
过瘾|guòyǐn|to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling
过于|guòyú|too much; excessively
嗨|hāi|oh alas; hey!; hi! (loanword); a high (natural or drug-induced) (loanword)
海拔|hǎibá|height above sea level; elevation
海滨|hǎibīn|shore; seaside
含糊|hánhú|ambiguous; vague; careless; perfunctory
含义|hányì|meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation
寒暄|hánxuān|to exchange conventional greetings; to talk about the weather
罕见|hǎnjiàn|rare; rarely seen
捍卫|hànwèi|to defend; to uphold; to safeguard
航空|hángkōng|aviation
航天|hángtiān|space flight
航行|hángxíng|to sail; to fly; to navigate
行列|xíngliè|ranks; procession
豪迈|háomài|bold; open-minded; heroic
毫米|háomǐ|millimeter
毫无|háowú|not in the least; to completely lack
号召|hàozhào|to call; to appeal
耗费|hàofèi|to waste; to spend; to consume; to squander
好客|hǎokè|hospitality; to treat guests well; to enjoy having guests; hospitable; friendly
呵|hē|variant of 啊[a1]; expel breath; my goodness
和蔼|héǎi|kindly; nice; amiable
和解|héjiě|to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled
和睦|hémù|peaceful relations; harmonious
和气|héqì|friendly; polite; amiable
和谐|héxié|harmonious; harmony; (euphemism) to censor
合并|hébìng|variant of 合併/合并[he2 bing4]; to merge; to annex
合成|héchéng|to compose; to constitute; compound; synthesis; mixture; synthetic
合乎|héhū|to accord with; conforming to
合伙|héhuǒ|to act jointly; to form a partnership
合身|héshēn|well-fitting (of clothes)
合算|hésuàn|worthwhile; to be a good deal; to be a bargain; to reckon up; to calculate
嘿|hēi|hey
痕迹|hénjī|vestige; mark; trace
狠心|hěnxīn|callous; heartless
恨不得|hènbùdé|wishing one could do sth; to hate to be unable; itching to do sth
哼|hēng|to groan; to snort; to hum; to croon; humph!
哄|hōng|roar of laughter (onom.); hubbub; to roar (as a crowd); to deceive; to coax; to amuse (a child); variant of 鬨/哄[hong4]; tumult; uproar; commotion; disturbance
烘|hōng|to bake; to heat by fire; to set off by contrast
轰动|hōngdòng|to cause a sensation; to create a stir in (a place); commotion; controversy
红包|hóngbāo|money wrapped in red as a gift; bonus payment; kickback; bribe
宏观|hóngguān|macro-; macroscopic; holistic
宏伟|hóngwěi|grand; imposing; magnificent
洪水|hóngshǔi|deluge; flood
喉咙|hóulóng|throat; larynx
吼|hǒu|to roar; to howl; to shriek; roar or howl of an animal; bellow of rage
后代|hòudài|descendant; progeny; posterity; later ages; later generations
后勤|hòuqín|logistics
候选|hòuxuǎn|candidate (attributive)
忽略|hūlvè|to neglect; to overlook; to ignore
呼啸|hūxiào|to whistle; to scream; to whiz
呼吁|hūxū|to call on (sb to do sth); to appeal (to); an appeal
胡乱|húluàn|careless; reckless; casually; absent-mindedly; at will; at random; any old how
湖泊|húbó|lake
互联网|hùliánwǎng|Internet
花瓣|huābàn|petal; CL:片[pian4]
华丽|huálì|gorgeous
华侨|huáqiáo|overseas Chinese; (in a restricted sense) Chinese emigrant who still retains Chinese nationality; CL:個/个[ge4],位[wei4],名[ming2]
化肥|huàféi|fertilizer
化石|huàshí|fossil
化验|huàyàn|chemical examination; to do a lab test
化妆|huàzhuāng|to put on makeup
划分|huáfēn|to divide up; to partition; to differentiate
话筒|huàtǒng|microphone; (telephone) receiver; handset
怀孕|huáiyùn|pregnant; to have conceived; gestation; pregnancy
欢乐|huānlè|gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay
还原|huányuán|to restore to the original state; to reconstruct (an event); reduction (chemistry)
环节|huánjié|(zoology) segment (of the body of a worm, centipede etc); (fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process), etc
缓和|huǎnhé|to ease (tension); to alleviate; to moderate; to allay; to make more mild
患者|huànzhě|patient; sufferer
荒凉|huāngliáng|desolate
荒谬|huāngmìu|absurd; ridiculous
荒唐|huāngtáng|beyond belief; preposterous; absurd; intemperate; dissipated
慌忙|huāngmáng|in a great rush; in a flurry
黄昏|huánghūn|dusk; evening; nightfall
恍然大悟|huǎngrándàwù|to suddenly realize; to suddenly see the light
挥霍|hūihuò|to squander money; extravagant; prodigal; free and easy; agile
辉煌|hūihuáng|splendid; glorious
回报|húibào|(in) return; reciprocation; payback; retaliation; to report back; to reciprocate
回避|húibì|variant of 迴避/回避[hui2 bi4]; to shun; to avoid (sb); to skirt; to evade (an issue); to step back; to withdraw; to recuse (a judge etc)
回顾|húigù|to look back; to review
回收|húishōu|to recycle; to reclaim; to retrieve; to recover; to recall (a defective product)
悔恨|hǔihèn|remorse; repentance
毁灭|hǔimiè|to perish; to ruin; to destroy
会晤|hùiwù|to meet; meeting; conference
汇报|hùibào|to report; to give an account of; to collect information and report back; to report; to give an account of; report
贿赂|hùilù|to bribe; a bribe
昏迷|hūnmí|to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented
浑身|húnshēn|all over; from head to foot
混合|hùnhé|to mix; to blend; hybrid; composite
混乱|hùnluàn|confusion; chaos; disorder
混淆|hùnyáo|to obscure; to confuse; to mix up; to blur; to mislead
混浊|hùnzhuó|turbid; muddy; dirty
活该|huógāi|(coll.) serve sb right; deservedly; ought; should
活力|huólì|energy; vitality; vigor; vital force
火箭|huǒjiàn|rocket; CL:枚[mei2]
火焰|huǒyàn|blaze; flame
火药|huǒyào|gunpowder
货币|huòbì|currency; monetary; money
或许|huòxǔ|perhaps; maybe
基地|jīdì|base (of operations); industrial or military base; al-Qaeda
基金|jījīn|fund
基因|jīyīn|gene (loanword)
机动|jīdòng|locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)
机构|jīgōu|mechanism; structure; organization; agency; institution; CL:所[suo3]
机关|jīguān|mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick; CL:個/个[ge4]
机灵|jīlíng|clever; quick-witted
机密|jīmì|secret; classified (information)
机械|jīxiè|machine; machinery; mechanical; (old) cunning; scheming
机遇|jīyù|opportunity; favorable circumstance; stroke of luck
机智|jīzhì|quick-witted; resourceful
激发|jīfā|to arouse; to excite
激励|jīlì|to encourage; to urge; motivation; incentive
激情|jīqíng|passion; fervor; enthusiasm; strong emotion
饥饿|jīè|hunger; starvation; famine
讥笑|jīxiào|to sneer
极端|jíduān|extreme
极限|jíxiàn|limit; extreme boundary
即便|jíbiàn|even if; even though; right away; immediately
即将|jíjiāng|on the eve of; to be about to; to be on the verge of
级别|jíbié|(military) rank; level; grade
疾病|jíbìng|disease; sickness; ailment
嫉妒|jídù|to be jealous; to envy; to hate
及早|jízǎo|at the earliest possible time; as soon as possible
急剧|jíjù|rapid; sudden
急切|jíqiē|eager; impatient
急躁|jízào|irritable; irascible; impetuous
籍贯|jíguàn|one's native place; place of ancestry; registered birthplace
集团|jítuán|group; bloc; corporation; conglomerate
吉祥|jíxiáng|lucky; auspicious; propitious
给予|gěiyú|to accord; to give; to show (respect)
寄托|jìtuō|to entrust (to sb); to place (one's hope, energy etc) in; a thing in which you invest (your hope, energy etc)
继承|jìchéng|to inherit; to succeed to (the throne etc); to carry on (a tradition etc)
记性|jìxìng|memory (ability to retain information)
记载|jìzài|to write down; to record; written account
季度|jìdù|quarter of a year; season (sports)
季军|jìjūn|third in a race; bronze medalist
计较|jìjiào|to bother about; to haggle; to bicker; to argue; plan; stratagem
忌讳|jìhùi|taboo; to avoid as taboo; to abstain from
寂静|jìjìng|quiet
纪要|jìyào|minutes; written summary of a meeting
技能|jìnéng|technical ability; skill
技巧|jìqiǎo|skill; technique
迹象|jīxiàng|mark; indication; sign; indicator
家常|jiācháng|the daily life of a family
家伙|jiāhuǒ|variant of 家伙[jia1 huo5]; household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon
家属|jiāshǔ|family member; (family) dependent
加工|jiāgōng|to process; processing; working (of machinery)
加剧|jiājù|to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter
佳肴|jiāyáo|fine food; delicacies; delicious food
夹杂|jiāzá|to mix together (disparate substances); to mingle; a mix; to be tangled up with
假设|jiǎshè|to suppose; to presume; to assume; supposing that ...; if; hypothesis; conjecture
假使|jiǎshǐ|if; in case; suppose; given ...
坚定|jiāndìng|firm; steady; staunch; resolute
坚固|jiāngù|firm; firmly; hard; stable
坚韧|jiānrèn|tough and durable; tenacious
坚实|jiānshí|firm and substantial; solid
坚硬|jiānyìng|hard; solid
监督|jiāndū|to control; to supervise; to inspect
监视|jiānshì|to monitor; to keep a close watch over; surveillance
监狱|jiānyù|prison
尖端|jiānduān|sharp pointed end; the tip; the cusp; tip-top; most advanced and sophisticated; highest peak; the best
艰难|jiānnán|difficult; hard; challenging
兼职|jiānzhí|to hold concurrent posts; concurrent job; moonlighting
拣|jiǎn|to choose; to pick; to sort out; to pick up
剪彩|jiǎncǎi|to cut the ribbon (at a launching or opening ceremony)
检讨|jiǎntǎo|to examine or inspect; self-criticism; review
检验|jiǎnyàn|to inspect; to examine; to test
简化|jiǎnhuà|to simplify
简陋|jiǎnlòu|simple and crude
简体字|jiǎntǐzì|simplified Chinese character, as opposed to traditional Chinese character 繁體字/繁体字[fan2 ti3 zi4]
简要|jiǎnyào|concise; brief
溅|jiàn|to splash
鉴别|jiànbié|to differentiate; to distinguish
鉴定|jiàndìng|to appraise; to identify; to evaluate
鉴于|jiànyú|in view of; seeing that; considering; whereas
间谍|jiāndié|spy
间隔|jiāngé|gap; interval; compartment; to divide; to separate; to leave a gap of (two weeks, three meters etc)
间接|jiānjiē|indirect
见多识广|jiànduōshìguǎng|experienced and knowledgeable (idiom)
见解|jiànjiě|opinion; view; understanding
见闻|jiànwén|what one has seen and heard; knowledge; one's experience
健全|jiànquán|robust; sound
践踏|jiàntà|to trample
舰艇|jiàntǐng|warship; naval vessel
将近|jiāngjìn|almost; nearly; close to
将军|jiāngjūn|Chiangchun township in Tainan county 台南縣/台南县[Tai2 nan2 xian4], Taiwan; general; high-ranking military officer; to check or checkmate; fig. to embarrass; to challenge; to put sb on the spot
僵硬|jiāngyìng|stiff; rigid
桨|jiǎng|oar; paddle
奖励|jiǎnglì|to reward; reward (as encouragement)
奖赏|jiǎngshǎng|reward; prize; award
降临|jiànglín|to descend; to arrive; to come
交叉|jiāochā|to cross; to intersect; to overlap
交代|jiāodài|to hand over; to explain; to make clear; to brief (sb); to account for; to justify oneself; to confess; (coll.) to finish
交涉|jiāoshè|to negotiate (with); to have dealings (with)
交往|jiāowǎng|to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; contact
交易|jiāoyì|(business) transaction; business deal; CL:筆/笔[bi3]
焦点|jiāodiǎn|focus; focal point
焦急|jiāojí|anxiety; anxious
娇气|jiāoqì|delicate; squeamish; finicky
角落|jiǎoluò|nook; corner
搅拌|jiǎobàn|to stir; to agitate
缴纳|jiǎonà|to pay (taxes etc)
教养|jiàoyǎng|to train; to educate; to bring up; to nurture; education; culture; upbringing; early conditioning
较量|jiàoliàng|to pit oneself against sb; to compete with sb; contest; battle; to haggle; to quibble
皆|jiē|all; each and every; in all cases
接连|jiēlián|on end; in a row; in succession
阶层|jiēcéng|hierarchy; stratum; social class
揭发|jiēfā|to expose; to bring to light; to disclose; revelation
揭露|jiēlù|to expose; to unmask; to ferret out; to disclose; disclosure
节奏|jiézòu|rhythm; tempo; musical pulse; cadence; beat
杰出|jiéchū|outstanding; distinguished; remarkable; prominent; illustrious
结晶|jiéjīng|to crystallize; crystallization; crystal; crystalline; (fig.) the fruit (of labor etc)
结局|jiéjú|conclusion; ending
结算|jiésuàn|to settle a bill; to close an account
截至|jiézhì|up to (a time); by (a time)
解除|jiěchú|to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement)
解雇|jiěgù|to fire; to sack; to dismiss; to terminate employment
解剖|jiěpōu|to dissect (an animal); to analyze; anatomy
解散|jiěsàn|to dissolve; to disband
解体|jiětǐ|to break up into components; to disintegrate; to collapse; to crumble
借鉴|jièjiàn|to draw on (others' experience); to learn from (how others do things); lesson to be learned (by observing others)
借助|jièzhù|to draw support from; with the help of
戒备|jièbèi|to take precautions; to guard against (emergency)
界限|jièxiàn|boundary
津津有味|jīnjīnyǒuwèi|with keen interest (idiom); with great pleasure; with gusto; eagerly
金融|jīnróng|banking; finance; financial
紧密|jǐnmì|inseparably close
紧迫|jǐnpò|pressing; urgent
尽快|jǐnkuài|as quickly as possible; as soon as possible; with all speed; see 儘快/尽快[jin3 kuai4]
锦绣前程|jǐnxìuqiánchéng|bright future; bright prospects
进而|jìnér|and then (what follows next)
进攻|jìngōng|to attack; to assault; to go on the offensive; attack; assault; offense (sports)
进化|jìnhuà|evolution; CL:個/个[ge4]
进展|jìnzhǎn|to make headway; to make progress
近来|jìnlái|recently; lately
近视|jìnshì|shortsighted; nearsighted; myopia
浸泡|jìnpào|to steep; to soak; to immerse
晋升|jìnshēng|to promote to a higher position
劲头|jìngtóu|enthusiasm; zeal; vigor; strength
