character-simplified|pinyin|definition
吵|chǎo|to quarrel; to make a noise; noisy; to disturb by making a noise
乘坐|chéngzuò|to ride (in a vehicle)
成功|chénggōng|Chenggong or Chengkung town in Taitung County 臺東縣/台东县[Tai2 dong1 Xian4], southeast Taiwan; success; to succeed; CL:次[ci4],個/个[ge4]
成熟|chéngshú|mature; ripe; to mature; to ripen; Taiwan pr. [cheng2 shou2]
成为|chéngwèi|to become; to turn into
诚实|chéngshí|honest; honesty; honorable; truthful
吃惊|chīliáng|to be startled; to be shocked; to be amazed
重新|zhòngxīn|again; once more; re-
抽烟|chōuyān|to smoke (a cigarette, tobacco)
出差|chūchà|to go on an official or business trip
出发|chūfā|to set off; to start (on a journey)
出生|chūshēng|to be born
传真|chuánzhēn|fax; facsimile
窗户|chuānghù|window; CL:個/个[ge4],扇[shan4]
词典|cídiǎn|dictionary; also written 辭典/辞典[ci2 dian3]; CL:部[bu4],本[ben3]
从来|cónglái|always; at all times; never (if used in negative sentence)
粗心|cūxīn|careless; thoughtless
答案|dáàn|answer; solution; CL:個/个[ge4]
打扮|dǎbàn|to decorate; to dress; to make up; to adorn; manner of dressing; style of dress
打扰|dǎrǎo|to disturb; to bother; to trouble
打印|dǎyìn|to print; to seal; to stamp
打折|dǎzhé|to give a discount
打针|dǎzhēn|to give or have an injection
大概|dàgài|roughly; probably; rough; approximate; about; general idea
大使馆|dàshǐguǎn|embassy; CL:座[zuo4],個/个[ge4]
大约|dàyuē|approximately; probably
戴|dài|surname Dai; to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support
代表|dàibiǎo|representative; delegate; CL:位[wei4],個/个[ge4],名[ming2]; to represent; to stand for; on behalf of; in the name of
代替|dàitì|to replace; to take the place of
大夫|dàfū|senior official (in imperial China); doctor; physician
当|dāng|(onom.) dong; ding dong (bell); to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student)
当地|dāngdì|local
当时|dāngshí|then; at that time; while; at once; right away
刀|dāo|surname Dao; knife; blade; single-edged sword; cutlass; CL:把[ba3]; (slang) dollar (loanword); classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs
导游|dǎoyóu|tour guide; guidebook; to conduct a tour
到处|dàochù|everywhere
到底|dàodǐ|finally; in the end; when all is said and done; after all; to the end; to the last
道歉|dàoqiàn|to apologize
得意|déyì|proud of oneself; pleased with oneself; complacent
等|děng|class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
等|děng|class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
底|dǐ|(equivalent to 的 as possessive particle); background; bottom; base; end (of the month, year etc); remnants; (math.) radix; base
地球|dìqíu|the earth; CL:個/个[ge4]
地址|dìzhǐ|address; CL:個/个[ge4]
掉|diào|to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)
调查|diàochá|investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項/项[xiang4],個/个[ge4]
丢|dīu|to lose; to put aside; to throw
动作|dòngzuò|movement; motion; action; CL:個/个[ge4]
堵车|dǔchē|traffic jam; (of traffic) to get congested
肚子|dùzǐ|belly; abdomen; stomach; CL:個/个[ge4]
断|duàn|to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly
对|dùi|right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple
对|dùi|right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple
对话|dùihuà|dialogue; CL:個/个[ge4]
对面|dùimiàn|(sitting) opposite; across (the street); directly in front; to be face to face
顿|dùn|to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal
朵|duǒ|flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc; variant of 朵[duo3]
而|ér|and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
儿童|értóng|child; CL:個/个[ge4]
发|fā|to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds); hair; Taiwan pr. [fa3]
发生|fāshēng|to happen; to occur; to take place; to break out
发展|fāzhǎn|development; growth; to develop; to grow; to expand
法律|fǎlv̀|law; CL:條/条[tiao2], 套[tao4], 個/个[ge4]
翻译|fānyì|to translate; to interpret; translator; interpreter; translation; interpretation; CL:個/个[ge4],位[wei4],名[ming2]
烦恼|fánnǎo|to be worried; to be distressed; worries
反对|fǎndùi|to fight against; to oppose; to be opposed to; opposition
反映|fǎnyìng|to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render
范围|fànwéi|range; scope; limit; extent; CL:個/个[ge4]
方法|fāngfǎ|method; way; means; CL:個/个[ge4]
方面|fāngmiàn|respect; aspect; field; side; CL:個/个[ge4]
方向|fāngxiàng|direction; orientation; path to follow; CL:個/个[ge4]
访问|fǎngwèn|to visit; to call on; to interview; CL:次[ci4]
放弃|fàngqì|to renounce; to abandon; to give up
分之|fēnzhī|(indicating a fraction)
份|fèn|classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]
风景|fēngjǐng|scenery; landscape; CL:個/个[ge4]
丰富|fēngfù|to enrich; rich; plentiful; abundant
否则|fǒuzé|if not; otherwise; else; or else
符合|fúhé|in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle
富|fù|surname Fu; rich; abundant; wealthy
负责|fùzé|to be in charge of; to take responsibility for; to be to blame; conscientious
复印|fùyìn|to photocopy; to duplicate a document
复杂|fùzá|complicated; complex
父亲|fùqīn|father; also pr. [fu4 qin5]; CL:個/个[ge4]
改变|gǎibiàn|to change; to alter; to transform
干杯|gānbēi|to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup
干燥|gānzào|to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid
感动|gǎndòng|to move (sb); to touch (sb emotionally); moving
感觉|gǎnjué|to feel; to become aware of; feeling; sense; perception; CL:個/个[ge4]
感情|gǎnqíng|emotion; sentiment; affection; feelings between two persons; CL:個/个[ge4],種/种[zhong3]
感谢|gǎnxiè|(express) thanks; gratitude; grateful; thankful; thanks
干|gān|old variant of 乾/干[gan1]; surname Gan; dry; clean; in vain; dried food; foster; adoptive; to ignore; variant of 乾/干[gan1]; to concern; to interfere; shield; stem; tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar)
刚刚|gānggāng|just recently; just a moment ago
高级|gāojí|high level; high grade; advanced; high-ranking
个子|gèzǐ|height; stature; build; size
各|gè|each; every
公里|gōnglǐ|kilometer
工具|gōngjù|tool; instrument; utensil; means (to achieve a goal etc)
工资|gōngzī|wages; pay; CL:個/个[ge4],份[fen4],月[yue4]
共同|gòngtóng|common; joint; jointly; together; collaborative
够|gòu|enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out
购物|gòuwù|shopping
孤单|gūdān|lone; lonely; loneliness
估计|gūjì|to estimate; to reckon; CL:個/个[ge4]; (coll.) to suppose
鼓励|gǔlì|to encourage
鼓掌|gǔzhǎng|to applaud; to clap
顾客|gùkè|client; customer; CL:位[wei4]
故意|gùyì|deliberately; on purpose
挂|guà|to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam)
关键|guānjiàn|crucial point; crux; CL:個/个[ge4]; key; crucial; pivotal
观众|guānzhòng|spectators; audience; visitors (to an exhibition etc)
管理|guǎnlǐ|to supervise; to manage; to administer; management; administration; CL:個/个[ge4]
光|guāng|light; ray; CL:道[dao4]; bright; only; merely; to use up
广播|guǎngbō|broadcast; CL:個/个[ge4]; broadcasting; to broadcast; (formal) to propagate; to publicize
广告|guǎnggào|to advertise; a commercial; advertisement; CL:項/项[xiang4]
逛|guàng|to stroll; to visit
规定|gūidìng|provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:個/个[ge4]
国际|guójì|international
果然|guǒrán|really; sure enough; as expected; if indeed
过|guò|surname Guo; to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; (experienced action marker)
过|guò|surname Guo; to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; (experienced action marker)
过程|guòchéng|course of events; process; CL:個/个[ge4]
海洋|hǎiyáng|ocean; CL:個/个[ge4]
害羞|hàixīu|shy; embarrassed; bashful
寒假|hánjiǎ|winter vacation
汗|hàn|see 可汗[ke4 han2], 汗國/汗国[han2 guo2]; perspiration; sweat; CL:滴[di1],頭/头[tou2],身[shen1]; to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)
航班|hángbān|scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship
好处|hǎochù|benefit; advantage; gain; profit; also pr. [hao3 chu4]; CL:個/个[ge4]
好像|hǎoxiàng|as if; to seem like
号码|hàomǎ|number; CL:堆[dui1],個/个[ge4]
合格|hégé|to meet the standard required; qualified; eligible (voter etc)
合适|héshì|suitable; fitting; appropriate
盒子|hézǐ|box; case
猴子|hóuzǐ|monkey; CL:隻/只[zhi1]
厚|hòu|thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
后悔|hòuhǔi|to regret; to repent
后来|hòulái|afterwards; later
忽然|hūrán|suddenly; all of a sudden
互相|hùxiāng|each other; mutually; mutual
护士|hùshì|nurse; CL:個/个[ge4]
怀疑|huáiyí|to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that
回忆|húiyì|to recall; memories; CL:個/个[ge4]
活动|huódòng|to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior; CL:項/项[xiang4],個/个[ge4]
活泼|huópō|lively; vivacious; brisk; active; (chemistry) reactive
火|huǒ|surname Huo; fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); Kangxi radical 86
获得|huòdé|to obtain; to receive; to get
基础|jīchǔ|base; foundation; basis; underlying; CL:個/个[ge4]
激动|jīdòng|to move emotionally; to stir up (emotions); to excite
积极|jījí|active; energetic; vigorous; positive (outlook); proactive
积累|jīlèi|to accumulate; accumulation; cumulative; cumulatively
极其|jíqí|extremely
即使|jíshǐ|even if; even though
及时|jíshí|in time; promptly; without delay; timely
集合|jíhé|to gather; to assemble; set (math.)
寄|jì|to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc)
继续|jìxù|to continue; to proceed with; to go on with
记者|jìzhě|reporter; journalist; CL:個/个[ge4]
计划|jìhuá|plan; project; program; to plan; to map out; CL:個/个[ge4],項/项[xiang4]
技术|jìzhú|technology; technique; skill; CL:門/门[men2],種/种[zhong3],項/项[xiang4]
既然|jìrán|since; as; this being the case
家具|jiājù|furniture; CL:件[jian4],套[tao4]
加班|jiābān|to work overtime
加油站|jiāyóuzhàn|gas station
假|jiǎ|see 假掰[gei1 bai1]; fake; false; artificial; to borrow; if; suppose; vacation; variant of 假[jia3]; to borrow
价格|jiàgé|price; CL:個/个[ge4]
坚持|jiānchí|to persevere with; to persist in; to insist on
减肥|jiǎnféi|to lose weight
减少|jiǎnshǎo|to lessen; to decrease; to reduce; to lower
将来|jiānglái|in the future; future; the future; CL:個/个[ge4]
奖金|jiǎngjīn|premium; award money; bonus
降低|jiàngdī|to reduce; to lower; to bring down
交|jiāo|to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); variant of 跤[jiao1]
交流|jiāolíu|to exchange; exchange; communication; interaction; to have social contact (with sb)
交通|jiāotōng|to be connected; traffic; transportation; communications; liaison
骄傲|jiāoào|pride; arrogance; conceited; proud of sth
饺子|jiǎozǐ|dumpling; pot-sticker; CL:個/个[ge4],隻/只[zhi1]
教授|jiàoshòu|professor; to instruct; to lecture on; CL:個/个[ge4],位[wei4]
教育|jiàoyù|to educate; to teach; education
接受|jiēshòu|to accept; to receive
节约|jiéyuē|to economize; to conserve (resources); economy; frugal
结果|jiéguǒ|to bear fruit; CL:個/个[ge4]; outcome; result; conclusion; in the end; as a result; to kill; to dispatch
解释|jiěshì|explanation; to explain; to interpret; to resolve; CL:個/个[ge4]
紧张|jǐnzhāng|nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣/阵[zhen4]
尽管|jǐnguǎn|despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating
进行|jìnxíng|to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute
禁止|jìnzhǐ|to prohibit; to forbid; to ban
精彩|jīngcǎi|wonderful; marvelous; brilliant
精神|jīngshén|spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:個/个[ge4]; vigor; vitality; drive; spiritual
经济|jīngjì|economy; economic
经历|jīnglì|experience; CL:個/个[ge4],次[ci4]; to experience; to go through
经验|jīngyàn|experience; to experience
京剧|jīngjù|Beijing opera; CL:場/场[chang3],齣/出[chu1]
警察|jǐngchá|police; police officer; CL:個/个[ge4]
竟然|jìngrán|unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to
竞争|jìngzhēng|to compete; competition
镜子|jìngzǐ|mirror; CL:面[mian4],個/个[ge4]
究竟|jīujìng|to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally; outcome; result
举办|jǔbàn|to conduct; to hold
拒绝|jùjué|to refuse; to decline; to reject
距离|jùlí|distance; CL:個/个[ge4]; to be apart from
开玩笑|kāiwánxiào|to play a joke; to make fun of; to joke
看法|kànfǎ|way of looking at a thing; view; opinion; CL:個/个[ge4]
考虑|kǎolv̀|to think over; to consider; consideration
棵|kē|classifier for trees, cabbages, plants etc
科学|kēxué|science; scientific knowledge; scientific; rational; CL:門/门[men2],個/个[ge4],種/种[zhong3]
咳嗽|késòu|to cough; CL:陣/阵[zhen4]
可怜|kělián|pitiful; pathetic; to have pity on
可是|kěshì|but; however; (used for emphasis) indeed
可惜|kěxī|it is a pity; what a pity; unfortunately
肯定|kěndìng|to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)
空气|kōngqì|air; atmosphere
恐怕|kǒngpà|fear; to dread; I'm afraid that...; perhaps; maybe
苦|kǔ|bitter; hardship; pain; to suffer; to bring suffering to; painstakingly
宽|kuān|surname Kuan; lenient; wide; broad
困|kùn|to trap; to surround; hard-pressed; stranded; destitute; sleepy; tired
困难|kùnnán|difficult; challenging; straitened circumstances; difficult situation
扩大|kuòdà|to expand; to enlarge; to broaden one's scope
拉|lā|to pull; to play (a bowed instrument); to drag; to draw; to chat
垃圾桶|lājítǒng|rubbish bin; trash can; garbage can; Taiwan pr. [le4 se4 tong3]
辣|là|old variant of 辣[la4]; hot (spicy); pungent
来不及|láibùjí|there's not enough time (to do sth); it's too late (to do sth)
来得及|láidéjí|there's still time; able to do sth in time
懒|lǎn|variant of 懶/懒[lan3]; lazy
浪费|làngfèi|to waste; to squander
浪漫|làngmàn|romantic
老虎|lǎohǔ|tiger; CL:隻/只[zhi1]
冷静|lěngjìng|calm; cool-headed
礼貌|lǐmào|courtesy; manners
理发|lǐfā|a barber; hairdressing
理解|lǐjiě|to comprehend; to understand; comprehension; understanding
理想|lǐxiǎng|an ideal; a dream; ideal; perfect
厉害|lìhài|difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome
力气|lìqì|strength; CL:把[ba3]
例如|lìrú|for example; for instance; such as
俩|liǎ|two (colloquial equivalent of 兩個/两个); both; some
连|lián|surname Lian; to link; to join; to connect; continuously; in succession; including; (used with 也[ye3], 都[dou1] etc) even; company (military)
联系|liánxì|variant of 聯繫/联系[lian2 xi4]; connection; contact; relation; to get in touch with; to integrate; to link; to touch
凉快|liángkuài|nice and cold; pleasantly cool
亮|liàng|bright; clear; resonant; to shine; to show; to reveal
聊天|liáotiān|to chat; to gossip
另外|lìngwài|additional; in addition; besides; separate; other; moreover; furthermore
留|líu|to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; old variant of 留[liu2]
留学|líuxué|to study abroad
流泪|líulèi|to shed tears
流利|líulì|fluent
流行|líuxíng|(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular; fashionable
乱|luàn|in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary
律师|lv̀shī|lawyer
麻烦|máfán|inconvenient; troublesome; annoying; to trouble or bother sb; to put sb to trouble
马虎|mǎhǔ|careless; sloppy; negligent; skimpy
满|mǎn|Manchu ethnic group; to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented
毛巾|máojīn|towel; CL:條/条[tiao2]
美丽|měilì|beautiful
梦|mèng|dream; CL:場/场[chang2],個/个[ge4]; (bound form) to dream
密码|mìmǎ|secret code; ciphertext; password; PIN
免费|miǎnfèi|free (of charge)
民族|mínzú|nationality; ethnic group; CL:個/个[ge4]
母亲|mǔqīn|mother; also pr. [mu3 qin5]; CL:個/个[ge4]
目的|mùde|purpose; aim; goal; target; objective; CL:個/个[ge4]
耐心|nàixīn|to be patient; patience
难道|nándào|don't tell me ...; could it be that...?
难受|nánshòu|to feel unwell; to suffer pain; to be difficult to bear
内|nèi|inside; inner; internal; within; interior
内容|nèiróng|content; substance; details; CL:個/个[ge4],項/项[xiang4]
能力|nénglì|capability; ability; CL:個/个[ge4]
年龄|niánlíng|(a person's) age; CL:把[ba3],個/个[ge4]
农村|nóngcūn|rural area; village; CL:個/个[ge4]
弄|nòng|lane; alley; to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with; old variant of 弄[nong4]; variant of 弄[long4]
暖和|nuǎnhé|warm; nice and warm
偶尔|ǒuěr|occasionally; once in a while; sometimes
排列|páiliè|to arrange in order; (math.) permutation
判断|pànduàn|to judge; to determine; judgment
陪|péi|to accompany; to keep sb company; to assist; old variant of 賠/赔[pei2]
批评|pīpíng|to criticize; criticism; CL:個/个[ge4]
皮肤|pífū|skin; CL:層/层[ceng2],塊/块[kuai4]
脾气|píqì|character; temperament; disposition; bad temper; CL:個/个[ge4]
篇|piān|sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article
骗|piàn|to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over
乒乓球|pīngpāngqíu|table tennis; ping-pong; table tennis ball; CL:個/个[ge4]
平时|píngshí|ordinarily; in normal times; in peacetime
瓶子|píngzǐ|bottle; CL:個/个[ge4]
破|pò|broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of
普遍|pǔbiàn|universal; general; widespread; common
其次|qícì|next; secondly
其中|qízhōng|among; in; included among these
起飞|qǐfēi|(of an aircraft) to take off
起来|qǐlái|to stand up; to get up; also pr. [qi3 lai2]; (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); indicating completion; (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5]
气候|qìhòu|climate; atmosphere; situation; CL:種/种[zhong3]
千万|qiānwàn|ten million; countless; many; one must by all means
签证|qiānzhèng|visa; certificate; to certify; CL:個/个[ge4]
墙|qiáng|variant of 牆/墙[qiang2], wall; wall; CL:面[mian4],堵[du3]
敲|qiāo|to hit; to strike; to tap; to rap; to knock; to rip sb off; to overcharge
桥|qiáo|bridge; CL:座[zuo4]
巧克力|qiǎokèlì|chocolate (loanword); CL:塊/块[kuai4]
亲戚|qīnqī|a relative (i.e. family relation); CL:門/门[men2],個/个[ge4],位[wei4]
轻|qīng|light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage
轻松|qīngsōng|light; gentle; relaxed; effortless; uncomplicated; to relax; to take things less seriously
情况|qíngkuàng|circumstances; state of affairs; situation; CL:個/个[ge4],種/种[zhong3]
请假|qǐngjiǎ|to request leave of absence
请客|qǐngkè|to give a dinner party; to entertain guests; to invite to dinner
穷|qióng|poor; destitute; to use up; to exhaust; thoroughly; extremely; (coll.) persistently and pointlessly
区别|qūbié|difference; to distinguish; to discriminate; to make a distinction; CL:個/个[ge4]
取|qǔ|to take; to get; to choose; to fetch
全部|quánbù|whole; entire; complete
缺点|quēdiǎn|weak point; fault; shortcoming; disadvantage; CL:個/个[ge4]
缺少|quēshǎo|lack; shortage of; shortfall; to be short (of); to lack
却|què|but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though
确实|quèshí|indeed; really; reliable; real; true
群|qún|variant of 群[qun2]; group; crowd; flock, herd, pack etc
然而|ránér|however; yet; but
热闹|rènào|bustling with noise and excitement; lively
人民币|rénmínbì|Renminbi (RMB); Chinese Yuan (CNY)
任何|rènhé|any; whatever; whichever; whatsoever
任务|rènwù|mission; assignment; task; duty; role; CL:項/项[xiang4],個/个[ge4]
扔|rēng|to throw; to throw away
仍然|réngrán|still; yet
日记|rìjì|diary; CL:則/则[ze2],本[ben3],篇[pian1]
入口|rùkǒu|entrance; to import
软|ruǎn|soft; flexible; variant of 軟/软[ruan3]
散步|sànbù|to take a walk; to go for a walk
森林|sēnlín|forest; CL:片[pian4]
沙发|shāfā|sofa (loanword); CL:條/条[tiao2],張/张[zhang1]; (Internet slang) the first reply or replier to a forum post
商量|shāngliàng|to consult; to talk over; to discuss
伤心|shāngxīn|to grieve; to be broken-hearted; to feel deeply hurt
稍微|shāowēi|a little bit
社会|shèhùi|society; CL:個/个[ge4]
深|shēn|deep; depth; deeply; (of a color) dark; deep; rich
申请|shēnqǐng|to apply for sth; application (form etc); CL:份[fen4]
甚至|shénzhì|even; so much so that
生活|shēnghuó|life; activity; to live; livelihood
生命|shēngmìng|life (as the characteristic of living beings); living being; creature; CL:個/个[ge4],條/条[tiao2]
省|shěng|to save; to economize; to do without; to omit; to leave out; province; (archaic) central government department; to inspect; to examine; to be aware; to pay a visit (to one's parents or elders)
剩|shèng|to remain; to be left; to have as remainder
失败|shībài|to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[ci4]
失望|shīwàng|disappointed; to lose hope; to despair
师傅|shīfù|master; qualified worker; respectful form of address for older men; CL:個/个[ge4],位[wei4],名[ming2]
湿润|shīrùn|moist
狮子|shīzǐ|Leo (star sign); Shihtzu township in Pingtung County 屏東縣/屏东县[Ping2 dong1 Xian4], Taiwan; lion; CL:隻/只[zhi1],頭/头[tou2]
十分|shífēn|very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts
实际|shíjì|reality; practice; practical; realistic; real; actual
实在|shízài|really; actually; indeed; true; real; honest; dependable; (philosophy) reality
食品|shípǐn|foodstuff; food; provisions; CL:種/种[zhong3]
使用|shǐyòng|to use; to employ; to apply; to make use of
试|shì|to test; to try; experiment; examination; test
市场|shìcháng|marketplace; market (also in abstract)
世纪|shìjì|century; CL:個/个[ge4]
适合|shìhé|to fit; to suit
适应|shìyìng|to adapt; to fit; to suit
收|shōu|to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name)
收入|shōurù|to take in; income; revenue; CL:筆/笔[bi3],個/个[ge4]
收拾|shōushí|to put in order; to tidy up; to pack; to repair; (coll.) to sort sb out; to fix sb
首都|shǒudū|capital (city); CL:個/个[ge4]
首先|shǒuxiān|first (of all); in the first place
受不了|shòubùle|unbearable; unable to endure; can't stand
受到|shòudào|to receive (praise, an education, punishment etc); to be ...ed (praised, educated, punished etc)
售货员|shòuhuòyuán|salesperson; CL:個/个[ge4]
输|shū|to lose; to transport; to donate; to enter (a password)
熟悉|shúxī|to be familiar with; to know well
数量|shùliàng|amount; quantity; CL:個/个[ge4]; quantitative
数字|shùzì|numeral; digit; number; figure; amount; digital (electronics etc); CL:個/个[ge4]
帅|shuài|surname Shuai; handsome; graceful; smart; commander in chief; (coll.) cool!; sweet!
顺便|shùnbiàn|conveniently; in passing; without much extra effort
顺利|shùnlì|smoothly; without a hitch
顺序|shùnxù|sequence; order
说明|shuōmíng|to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption; CL:個/个[ge4]
硕士|shuòshì|master's degree; person who has a master's degree; learned person
死|sǐ|to die; impassable; uncrossable; inflexible; rigid; extremely; damned
速度|sùdù|speed; rate; velocity; (music) tempo; CL:個/个[ge4]
塑料袋|sùliàodài|plastic bag
